Название;Категория;Цель;Противопоказания;Тип питания;Ссылка на WB;Ссылка на kultlab.ru;артикулы;способ применения ;описание
"Kultlab Омега 3, 120 капс";Омега-3 и жирные кислоты;Активное долголетие;Продукт не является лекарственным средством. Перед началом приема продукта обязательно проконсультируйтесь у специалиста.;;https://www.wildberries.ru/catalog/50403505/detail.aspx;https://kultlab.ru/catalog/omega-i-zhirnye-kisloty/kultlab-omega-3-120-kaps/;;Принимать по 3 капсулы в день во время еды;"Размер одной порции                                        : Принимать по 1 капсуле 3 раза в день, во время еды, обильно запивая водойKultLab Omega-3 содержит самые ценные для человека ненасыщенные жирные кислоты: докозагексаеновую (ДГК) и эйкозапентаеновую (ЭПК). Они могут использоваться для профилактики широкого спектра заболеваний, борьбы с воспалениями и усиления работы мозга. ДГК и ЭПК особенно полезны для функционирования сердечно-сосудистой системы. Исследования доказали, что Омега-3 может не только предупреждать болезни сердца и онкологии, но и приостанавливать развитие раковой опухоли благодаря способности восстанавливать нарушения ДНК. Omega-3 улучшает метаболизм мозга, предотвращает накопление жиров, обладает антиатеросклеротическим воздействием.iИндивидуальная непереносимость."
"Kultlab Omega 3, 60капс";Омега-3 и жирные кислоты;Активное долголетие;Продукт не является лекарственным средством. Перед началом приема продукта обязательно проконсультируйтесь у специалиста.;;https://www.wildberries.ru/catalog/50403505/detail.aspx;https://kultlab.ru/catalog/omega-i-zhirnye-kisloty/kultlab-omega-3-60-kaps/;;Принимать по 3 капсулы в день во время еды;"Размер одной порции                                        : 3 капсулыKultLab Omega-3 содержит самые ценные для человека ненасыщенные жирные кислоты: докозагексаеновую (ДГК) и эйкозапентаеновую (ЭПК). Они могут использоваться для профилактики широкого спектра заболеваний, борьбы с воспалениями и усиления работы мозга. ДГК и ЭПК особенно полезны для функционирования сердечно-сосудистой системы. Исследования доказали, что Омега-3 может не только предупреждать болезни сердца и онкологии, но и приостанавливать развитие раковой опухоли благодаря способности восстанавливать нарушения ДНК. Omega-3 улучшает метаболизм мозга, предотвращает накопление жиров, обладает антиатеросклеротическим воздействием.iИндивидуальная непереносимость."
"Kultlab Omega 3, 90капс";Омега-3 и жирные кислоты;Активное долголетие;Продукт не является лекарственным средством. Перед началом приема продукта обязательно проконсультируйтесь у специалиста.;;https://www.wildberries.ru/catalog/50403505/detail.aspx;https://kultlab.ru/catalog/omega-i-zhirnye-kisloty/kultlab-omega-3-90-kaps_1/;;Принимать по 3 капсулы в день во время еды;"Размер одной порции                                        : 3 капсулыKultLab Omega-3 содержит самые ценные для человека ненасыщенные жирные кислоты: докозагексаеновую (ДГК) и эйкозапентаеновую (ЭПК). Они могут использоваться для профилактики широкого спектра заболеваний, борьбы с воспалениями и усиления работы мозга.ДГК и ЭПК особенно полезны для функционирования сердечно-сосудистой системы.Исследования доказали, что Омега-3 может не только предупреждать болезни сердца и онкологии, но и приостанавливать развитие раковой опухоли благодаря способности восстанавливать нарушения ДНК. Omega-3 улучшает метаболизм мозга, предотвращает накопление жиров, обладает антиатеросклеротическим воздействием.iИндивидуальная непереносимость."
"Kultlab Ultra Omega-3 65%, 90 капс";Омега-3 и жирные кислоты;Активное долголетие;Продукт не является лекарственным средством. Перед началом приема продукта обязательно проконсультируйтесь у специалиста.;;https://www.wildberries.ru/catalog/50403505/detail.aspx;https://kultlab.ru/catalog/omega-i-zhirnye-kisloty/kultlab-omega-3-65-60-kaps/;;по 1 капсуле 1-2 раза в день во время еды.;"Размер одной порции                                        : по 1 капсуле 1-2 раза в день во время еды.Омега-3 способствует укреплению здоровья сердца, снижает уровень триглицеридов и риск сердечно-сосудистых заболеваний, усиливает работу мозга. Кроме того, Омега-3 обладает противоспалительными свойствами, что полезно при хронических заболеваниях и для здоровья кожи."
"Kultlab Omega 3-6-9, 60 капс";Омега-3 и жирные кислоты;Активное долголетие;Продукт не является лекарственным средством. Перед началом приема продукта обязательно проконсультируйтесь у специалиста.;;https://www.wildberries.ru/catalog/50403505/detail.aspx;https://kultlab.ru/catalog/omega-i-zhirnye-kisloty/kultlab-omega-3-6-9-60-kaps/;;Принимать по 3 капсулы в день во время еды;"Размер одной порции                                        : 3 капсулыKultlab Omega 3-6-9 - сбалансированный комплекс поможет восполнить дефицит жирных кислот в организме человека.Улучшает обмен веществ, что способствует снижению веса,Стабилизирует уровень сахара в крови,Помогает выработке сератонина - гормана счастья, поэтому является отличным средством в борьбе со стрессом и даже депрессией,Укрепляет иммунитет, сердечно - сосудистую систему,Улучшает состояние кожи, ногтей и волос, помогает им восстановиться после зимы,Поддерживает здоровье глаз,Является профилактическим средством различных заболеваний глаз, сердца, кожи, сахарного диабета, болезни Альцгеймера, остеопороза и других,Придает сил и увеличивает запас энергии,Уменьшает различные воспаления в организме и прочее.iПродукт не является лекарственным средством. Перед началом приема продукта обязательно проконсультируйтесь у специалиста."
"Kultlab Omega 3 Norwegian, 250 капс";Омега-3 и жирные кислоты;Активное долголетие;"Индивидуальная непереносимость компонентов продукта.
";;https://www.wildberries.ru/catalog/14880387/detail.aspx?targetUrl=GP;https://kultlab.ru/catalog/omega-i-zhirnye-kisloty/kultlab-omega-3-norwegian-250-kapsuly/;;Принимать по 3 капсулы в день во время еды;"Размер одной порции                                        : 3 капсулыОмега 3 Norwegian  - содержится рыбий жир, полученный из пород рыб, обитающих в холодных водоемах, в том числе лосося и скумбрии. В его состав входят полиненасыщенные жирные кислоты: эйкозапентаеновая кислота (ЭПК) и декозагексаеновая кислота (ДГК). Они резко снижают концентрацию в крови холестерина, которому принадлежит ведущая роль в образовании атеросклеротических бляшек, закупоривающих сосуды. Поэтому Omega 3 Norwegian является прекрасным профилактическим и лечебным средством при многих сердечно-сосудистых заболеваниях, и препаратом, нормализующим артериальное давление.Рекомендации по применению: взрослым по 3 капсулы в день во время еды. Продолжительность приема 1-2 месяца.iИндивидуальная непереносимость компонентов продукта."
"Kultlab Омега 3 Норвегия, 500 капс";Омега-3 и жирные кислоты;Активное долголетие;"Индивидуальная непереносимость компонентов продукта.
";;https://www.wildberries.ru/catalog/13935737/detail.aspx?targetUrl=GP;https://kultlab.ru/catalog/omega-i-zhirnye-kisloty/kultlab-omega-3-norwegian-500-kaps_1/;;Принимать по 3 капсулы в день во время еды;"Размер одной порции                                        : 3 капсулыОмега 3 Norwegian - содержится рыбий жир, полученный из пород рыб, обитающих в холодных водоемах, в том числе лосося и скумбрии. В его состав входят полиненасыщенные жирные кислоты: эйкозапентаеновая кислота (ЭПК) и декозагексаеновая кислота (ДГК). Они резко снижают концентрацию в крови холестерина, которому принадлежит ведущая роль в образовании атеросклеротических бляшек, закупоривающих сосуды. Поэтому Omega 3 Norwegian является прекрасным профилактическим и лечебным средством при многих сердечно-сосудистых заболеваниях, и препаратом, нормализующим артериальное давление.Рекомендации по применению: взрослым по 3 капсулы в день во время еды.Продолжительность приема 1-2 месяца.iИндивидуальная непереносимость компонентов продукта."
"Kultlab 5-HTP 100 mg, 90 капс";5-htp;Аминокислоты;Индивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом!;;https://www.wildberries.ru/catalog/91730033/detail.aspx?targetUrl=GP;https://kultlab.ru/catalog/5-htp/kultlab-5-htp-100-mg-90-kaps/;;1-2 капсулы два раза в день натощак;"Размер одной порции                                        : 1-2 капсулы два раза в день натощак5-HTP (5-гидрокситриптофан) - промежуточный метаболит между аминокислотой L-триптофан и серотонином, получаемый из семян африканского растения Griffonia simplicifolia.Показания к применению:БессоницаДепрессииПодавленность, усталость, навязчивые состояния, мигрень, нервозность, агрессивность, взвинченность, раздражительность.Для уменьшения аппетита тем, кто переедает и для тех, кто не может удержаться от переедания на ночьВ профилактике, лечении и реабилитации алкоголизма и наркотической зависимостиiИндивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом"
"Kultlab L-Arginine 750 mg, 100капс";Аргинин;Аминокислоты;"Индивидуальная непереносимость, беременность, возраст до 12 лет.
";;;https://kultlab.ru/catalog/arginin/kultlab-l-arginine-750-mg-100-kaps/;;"В качестве пищевой добавки принимайте по 1 капсуле 2-3 раза в день по мере необходимости, желательно с соком или водой на голодный желудок, перед тренировкой или перед сном.";"Размер одной порции                                        : 1 капсулаАргинин - условно-незаменимая аминокислота, которая является носителем и донатором азота. Он необходим в синтезе мышечной ткани, именно эта функция явилась главным фактором распространения аргинина в бодибилдинге. Аргинин способствует увеличению мышечной массы и уменьшению жиров при адекватной физической нагрузке.Рекомендации по применению:В качестве пищевой добавки принимайте по 1 капсуле 2-3 раза в день по мере необходимости, желательно с соком или водой на голодный желудок, перед тренировкой или перед сном.iИндивидуальная непереносимость, беременность, возраст до 12 лет."
"Kultlab AAKG, 200 гр";Аргинин;Аминокислоты;"Продукт не является лекарственным средством. Не рекомендуем использовать продукцию лицам, не достигшим 18 лет. Женщинам не рекомендуется использовать продукт в период беременности и грудного вскармливания. Перед началом приема любого продукта обязательно проконсультируйтесь у специалиста!";;;https://kultlab.ru/catalog/arginin/kultlab-aakg-200-gr/;;Смешайте 1 порцию (2 мерные ложки) с 1 стаканом воды (200-300 мл). Для получения наилучшего эффекта принимать по одной порции до тренировки.;"Размер одной порции                                        : 2 мерных ложки - 5 грKULTLAB AAKG - спортивная добавка, которая способствует ускорению роста мышечной массы, повышению силовых показателей и выносливости. Приём перед тренировкой значительно увеличивает рост мышц, мышечную силу и спортивную выносливость, так как повышает уровень оксида азота.Рекомендации по применению:Смешайте 1 порцию (2 мерные ложки) с 1 стаканом воды (200-300 мл). Для получения наилучшего эффекта принимать по одной порции до тренировки.iПродукт не является лекарственным средством. Не рекомендуем использовать продукцию лицам, не достигшим 18 лет. Женщинам не рекомендуется использовать продукт в период беременности и грудного вскармливания. Перед началом приема любого продукта обязательно проконсультируйтесь у специалиста!"
